"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Community Research Foundation","CA","Healthcare Provider","30236","06/20/2023","Hacking/IT Incident","Network Server","No",""
"Quatela Center for Plastic Surgery","NY","Healthcare Provider","1085","06/20/2023","Unauthorized Access/Disclosure","Email","No",""
"Kannact, Inc.","OR","Business Associate","103547","06/20/2023","Hacking/IT Incident","Network Server","Yes",""
"VINCERA IMAGING LLC","PA","Healthcare Provider","5000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"VINCERA REHAB LLC","PA","Healthcare Provider","5000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"VINCERA SURGERY CENTER","PA","Healthcare Provider","5000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS","PA","","10000","06/20/2023","Hacking/IT Incident","Network Server","No",""
"Peachtree Orthopaedic Clinic, P.A.","GA","Healthcare Provider","34691","06/19/2023","Hacking/IT Incident","Network Server","No",""
"Atrium Health Wake Forest Baptist ","NC","Healthcare Provider","3679","06/16/2023","Hacking/IT Incident","Email","No",""
"New Horizons Medical, Inc","MA","Healthcare Provider","12317","06/16/2023","Hacking/IT Incident","Network Server","No",""
"Parker Drilling Company Group Health and Flexible Benefit Plan","TX","Health Plan","5973","06/15/2023","Hacking/IT Incident","Network Server","No",""
"Great Valley Cardiology","PA","Healthcare Provider","181764","06/12/2023","Hacking/IT Incident","Network Server","No",""
"Idaho Department of Health & Welfare","ID","Health Plan","2501","06/12/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"HC3, Inc","AL","Business Associate","1105","06/11/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Uponor North America","MN","Health Plan","1048","06/08/2023","Hacking/IT Incident","Network Server","No",""
"Intellihartx, LLC","TN","Business Associate","489830","06/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Marshall & Melhorn, LLC","OH","Business Associate","9412","06/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services","UT","Health Plan","5800","06/06/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Southeast Nursing and Rehab Center","TX","Healthcare Provider","2721","06/06/2023","Improper Disposal","Other, Paper/Films","No",""
"Enzo Clinical Labs, Inc.","NY","Healthcare Provider","2470000","06/05/2023","Hacking/IT Incident","Network Server","No",""
"South Jersey Behavorial Health Resources, Inc.","NJ","Healthcare Provider","501","06/04/2023","Hacking/IT Incident","Network Server","No",""
"John N. Evans, DPM","MI","Healthcare Provider","15512","06/03/2023","Hacking/IT Incident","Network Server","No",""
"Unified Operations Virginia LP","FL","Business Associate","501","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions","MS","Healthcare Provider","501","06/02/2023","Hacking/IT Incident","Network Server","No",""
"CareNet Medical Group, PC","NY","Healthcare Provider","10059","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Classic Residence Management Limited Partnership","IL","Healthcare Provider","12405","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Elgon Information Systems","MA","Business Associate","31248","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"EpiSource","MN","Business Associate","1206","06/02/2023","Hacking/IT Incident","Network Server","Yes",""
"Mercy Medical Center - Clinton, Inc.","IA","Healthcare Provider","20865","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Petaluma Health Center","CA","Healthcare Provider","124862","06/02/2023","Hacking/IT Incident","Network Server","No",""
"Pain Relief Centers PA","NC","Healthcare Provider","7000","06/01/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"iSpace, Inc.","CA","Business Associate","24382","05/31/2023","Hacking/IT Incident","Network Server","Yes",""
"Builders FirstSource Flex Plan","TX","Health Plan","3690","05/30/2023","Hacking/IT Incident","Network Server","No",""
"Onix Group","PA","Business Associate","319500","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"North Shore Medical Labs","NY","Healthcare Provider","500","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Sparta Community Hospital District","IL","Healthcare Provider","900","05/26/2023","Hacking/IT Incident","Email","No",""
"Managed Care of North America (MCNA)","GA","Business Associate","8861076","05/26/2023","Hacking/IT Incident","Network Server","Yes",""
"South Jersey Behavioral Health Resources, Inc.","NJ","Healthcare Provider","2193","05/26/2023","Hacking/IT Incident","Email","No",""
"Valley Orthopaedic Specialists","CT","Healthcare Provider","5062","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Lancaster Orthopedic Group","PA","Healthcare Provider","1784","05/26/2023","Hacking/IT Incident","Network Server","No",""
"Albany ENT & Allergy Services, PC.","NY","Healthcare Provider","224486","05/25/2023","Hacking/IT Incident","Network Server","No",""
"Asian Health Services","CA","Healthcare Provider","6270","05/25/2023","Hacking/IT Incident","Email","No",""
"Goodwill Industries of Greater New York and Northern NJ, Inc.","NY","Healthcare Provider","805","05/24/2023","Hacking/IT Incident","Email","No",""
"Vascular Center of Intervention, Inc.","CA","Healthcare Provider","3833","05/24/2023","Hacking/IT Incident","Network Server","No",""
"Harvard Pilgrim Health Care","MA","Health Plan","2624191","05/24/2023","Hacking/IT Incident","Network Server","No",""
"MedInform, Inc.","OH","Business Associate","14453","05/24/2023","Hacking/IT Incident","Network Server","Yes",""
"UI Community Home Care, a subsidiary of University of Iowa Health System ","IA","Healthcare Provider","67897","05/24/2023","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Grant Regional Health Center","WI","Healthcare Provider","4135","05/23/2023","Hacking/IT Incident","Email","No",""
"PillPack LLC","NH","Healthcare Provider","19032","05/19/2023","Hacking/IT Incident","Network Server","No",""
"PartsSource, Inc. Welfare Benefit Plan","OH","Health Plan","1474","05/19/2023","Hacking/IT Incident","Network Server","No",""
"University of Missouri Health Care ","MO","Healthcare Provider","736","05/17/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Clarke County Hospital   ","IA","Healthcare Provider","28003","05/17/2023","Hacking/IT Incident","Network Server","No",""
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service","NJ","Health Plan","552","05/16/2023","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Buckeye Health Plan","OH","Health Plan","686","05/16/2023","Unauthorized Access/Disclosure","Email","No",""
"Essen Medical Associates, P.C.","NY","Healthcare Provider","500","05/16/2023","Hacking/IT Incident","Network Server","No",""
"Lehigh Valley Health Network (blackcat)","PA","Healthcare Provider","248359","05/15/2023","Hacking/IT Incident","Network Server","No",""
"R&B Corporation of Virginia d/b/a Credit Control Corporation","VA","Business Associate","345523","05/13/2023","Hacking/IT Incident","Network Server","Yes",""
"PharMerica Corporation","KY","Healthcare Provider","5815591","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Great Expressions Dental Centers","MI","Healthcare Provider","528","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services","IL","Health Plan","50839","05/12/2023","Hacking/IT Incident","Network Server","No",""
"Catholic Health System","NY","Healthcare Provider","12759","05/11/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"IMA Financial Group, Inc.","KS","Business Associate","5242","05/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Uintah Basin Healthcare","UT","Healthcare Provider","103974","05/10/2023","Hacking/IT Incident","Network Server","No",""
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")","AZ","Healthcare Provider","1034","05/09/2023","Theft","Desktop Computer","No",""
"ASAS Health, LLC","TX","Healthcare Provider","25527","05/06/2023","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Our Sunday Visitor, Inc.","IN","Health Plan","965","05/05/2023","Hacking/IT Incident","Network Server","No",""
"People Incorporated of Sequoyah County","OK","Healthcare Provider","8725","05/05/2023","Hacking/IT Incident","Network Server","No",""
"New Mexico Department of Health","NM","Healthcare Provider","49000","05/04/2023","Unauthorized Access/Disclosure","Other","No",""
"Methodist Family Health","AR","Healthcare Provider","5259","05/03/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Health – La Porte","IN","Healthcare Provider","10256","05/02/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Saint Louis University","MO","Healthcare Provider","48392","05/01/2023","Hacking/IT Incident","Email","No",""
"University Urology","NY","Healthcare Provider","56816","05/01/2023","Hacking/IT Incident","Network Server","No",""
"Summit Eye & Optical","NJ","Healthcare Provider","5727","05/01/2023","Hacking/IT Incident","Network Server","No",""
"Link Audiology LLC","WA","Healthcare Provider","7200","04/28/2023","Hacking/IT Incident","Email","No",""
"HealthPlan Services, Inc.","FL","Business Associate","9349","04/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers","VA","Healthcare Provider","5272","04/28/2023","Hacking/IT Incident","Email","No",""
"Allina Health","MN","Healthcare Provider","1042","04/28/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Unlimited Care, Inc. ","NY","Healthcare Provider","8453","04/27/2023","Hacking/IT Incident","Network Server","No",""
"Delphi Drug & Alcohol Council","NY","Healthcare Provider","6288","04/27/2023","Hacking/IT Incident","Email","No",""
"University of California, San Francisco","CA","Healthcare Provider","676","04/26/2023","Hacking/IT Incident","Email","No",""
"CounSol, LLC","FL","Business Associate","4277","04/25/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","17000","04/25/2023","Hacking/IT Incident","Email","No",""
"Mars Area School District  ","PA","Health Plan","1270","04/24/2023","Hacking/IT Incident","Network Server","No",""
"Upstream RollCo, LLC","AL","Healthcare Provider","748678","04/22/2023","Hacking/IT Incident","Email","No",""
"Robeson Health Care Corporation","NC","Healthcare Provider","15045","04/21/2023","Hacking/IT Incident","Network Server","No",""
"Modern Cardiology Associates","","Healthcare Provider","10000","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Graceworks Lutheran Services","OH","Healthcare Provider","6737","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Morgan Stanley","NY","Health Plan","535","04/18/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Ethan Health, LLC","KY","Healthcare Provider","4047","04/14/2023","Hacking/IT Incident","Email","No",""
"MiniMed Distribution Corp.","CA","Healthcare Provider","58374","04/14/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Dallas County","TX","Healthcare Provider","501","04/14/2023","Improper Disposal","Desktop Computer","No",""
"United Steelworkers Local 286","PA","Health Plan","37965","04/14/2023","Hacking/IT Incident","Email","No",""
"Henry County Hospital","OH","Healthcare Provider","3689","04/14/2023","Hacking/IT Incident","Network Server","Yes",""
"NationsBenefits Holdings, LLC","FL","Business Associate","3037303","04/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Cummins Behavioral Health Systems","IN","Healthcare Provider","501","04/12/2023","Hacking/IT Incident","Network Server","No",""
"Retina & Vitreous of Texas, PLLC","TX","Healthcare Provider","35766","04/10/2023","Hacking/IT Incident","Network Server","No",""
"Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)","IA","Health Plan","20815","04/10/2023","Hacking/IT Incident","Network Server","Yes",""
"La Clínica de La Raza, Inc.","CA","Healthcare Provider","15316","04/07/2023","Hacking/IT Incident","Email","No",""
"Gretna Family Health","NE","Healthcare Provider","845","04/07/2023","Hacking/IT Incident","Network Server","No",""
"St. Luke's Health System, Ltd. ","ID","Healthcare Provider","15246","04/06/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM","PA","Health Plan","13240","04/05/2023","Hacking/IT Incident","Email","No",""
"banis plastci surgery","KY","Healthcare Provider","4498","04/04/2023","Unauthorized Access/Disclosure","Email","No",""
"Southwest Healthcare Services","ND","Healthcare Provider","15996","04/01/2023","Hacking/IT Incident","Network Server","No",""
"Tallahassee Memorial Healthcare, Inc.","FL","Healthcare Provider","20376","03/31/2023","Hacking/IT Incident","Network Server","No",""
"Monument, Inc.","NY","Business Associate","108584","03/31/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"UHS of Delaware, Inc. ","PA","Business Associate","40290","03/29/2023","Hacking/IT Incident","Email","Yes",""
"ProSmile Holdings, LLC","NJ","Business Associate","39674","03/28/2023","Hacking/IT Incident","Email","Yes",""
"Nonstop Administration and Insurance Services, Inc.","PA","Business Associate","8571","03/27/2023","Hacking/IT Incident","Network Server","Yes",""
"American Pain and Wellness, PLLC","TX","Healthcare Provider","7457","03/24/2023","Hacking/IT Incident","Network Server","No",""
"NewBridge Services","NJ","Healthcare Provider","1457","03/24/2023","Hacking/IT Incident","Network Server","No",""
"Adams County Children and Youth Services","PA","Healthcare Provider","722","03/24/2023","Hacking/IT Incident","Email","No",""
"Atlantic General Hospital","MD","Healthcare Provider","26591","03/24/2023","Hacking/IT Incident","Network Server","No",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","54396","03/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Integrated Supports for Living, Inc.","OR","Healthcare Provider","1161","03/20/2023","Hacking/IT Incident","Network Server","No",""
"Majestic Care Middletown Assisted Living LLC","IN","Healthcare Provider","2636","03/17/2023","Hacking/IT Incident","Network Server","No",""
"OU Medicine, Inc. d/b/a OU Health","OK","Healthcare Provider","3013","03/17/2023","Theft","Laptop","No",""
"Health Plan of San Mateo","CA","Health Plan","11894","03/17/2023","Hacking/IT Incident","Email","No",""
"Associates in Dermatology","KY","Healthcare Provider","8517","03/17/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Health Systems Professional Services Corporations (CHSPSC), LLC","TN","Business Associate","962884","03/16/2023","Hacking/IT Incident","Network Server","Yes",""
"UC San Diego Health ","CA","Healthcare Provider","23000","03/16/2023","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"AllCare Plus Pharmacy, Inc.","MA","Healthcare Provider","757","03/15/2023","Hacking/IT Incident","Email","No",""
"Healthy Options dba Postal Prescription Services – Kroger ","OH","Healthcare Provider","82466","03/15/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Top of the World Ranch Treatment Center","IL","Healthcare Provider","1980","03/14/2023","Hacking/IT Incident","Email","No",""
"NorthStar Emergency Medical Services","AL","Healthcare Provider","82450","03/14/2023","Hacking/IT Incident","Network Server","No",""
"ZOLL Services LLC ","MA","Healthcare Provider","997097","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Colquitt Complete Care, LLC","GA","Healthcare Provider","1282","03/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Beacon Health System","IN","Healthcare Provider","3117","03/10/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Community Health Centers of Greater Dayton","OH","Healthcare Provider","516","03/08/2023","Unauthorized Access/Disclosure","Email","No",""
"The M K Morse Company's Health Plan","OH","Health Plan","1378","03/08/2023","Hacking/IT Incident","Network Server","No",""
"SundaySky, Inc.","NY","Business Associate","37095","03/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Trinity Health","MI","Business Associate","45350","03/06/2023","Hacking/IT Incident","Email","Yes",""
"Northeast Surgical Group, PC","MI","Healthcare Provider","15298","03/06/2023","Hacking/IT Incident","Network Server","No",""
"Denver Public Schools Medical Plans","CO","Health Plan","35068","03/03/2023","Hacking/IT Incident","Network Server","No",""
"Codman Square Health Center","MA","Healthcare Provider","10161","03/01/2023","Hacking/IT Incident","Network Server","No",""
"Cerebral, Inc","DE","Business Associate","3179835","03/01/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Texas Medical Liability Trust and its affiliates","TX","Business Associate","600","03/01/2023","Hacking/IT Incident","Network Server","Yes",""
"MHMR Authority of Brazos Valley ","TX","Healthcare Provider","78984","02/28/2023","Hacking/IT Incident","Network Server","No",""
"Community Health Group ","CA","Health Plan","824","02/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Clarity Child Guidance Center","TX","Health Plan","531","02/28/2023","Unauthorized Access/Disclosure","Email","No",""
"eMDs, Inc.","TX","Business Associate","625","02/24/2023","Hacking/IT Incident","Network Server","Yes",""
"Harrisburg Medical Center (“HMC”)","IL","Healthcare Provider","147826","02/21/2023","Hacking/IT Incident","Network Server","No",""
"Hutchinson Clinic, P.A. ","KS","Healthcare Provider","100000","02/17/2023","Hacking/IT Incident","Network Server","No",""
"Jackson Lewis P.C. ","CA","Business Associate","986","02/17/2023","Theft","Other Portable Electronic Device","Yes",""
"Reventics, LLC","FL","Business Associate","4212823","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Compass Behavioral Health","KS","Healthcare Provider","537","02/10/2023","Hacking/IT Incident","Email","No",""
"Highmark Inc","PA","Business Associate","36600","02/10/2023","Hacking/IT Incident","Email","Yes",""
"Wentworth Health Partners Garrison Women's Health","NH","Healthcare Provider","4158","02/10/2023","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Nelson Pharmacy Consulting Services PLC","IA","Healthcare Provider","500","02/10/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Cheyenne Radiology Group & MRI, P.C.","WY","Healthcare Provider","12222","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Tattnall County, Georgia","GA","Healthcare Provider","1337","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Health Benefit Plan of Bridgewater-Raritan Regional School District","NJ","Health Plan","3909","02/09/2023","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","175000","02/08/2023","Hacking/IT Incident","Network Server","Yes",""
"NR Pennsylvania Associates, LLC","PA","Healthcare Provider","14335","02/07/2023","Hacking/IT Incident","Network Server","No",""
"Frank R. Laurri, M.D. and Associates, P.C.","NY","Healthcare Provider","2673","02/07/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Vitra Health, Inc.","MA","Healthcare Provider","1618","02/06/2023","Hacking/IT Incident","Email","No",""
"Cardiovascular Associates","AL","Healthcare Provider","441640","02/03/2023","Hacking/IT Incident","Network Server","No",""
"Southeast Colorado Hospital District","CO","Healthcare Provider","1435","02/03/2023","Hacking/IT Incident","Email","No",""
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below","AZ","Healthcare Provider","10978","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group","CA","Healthcare Provider","3388856","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Institute for Hormonal Balance","TX","Healthcare Provider","597","01/31/2023","Theft","Paper/Films","No",""
"Brooks Rehabilitation","FL","Healthcare Provider","1554","01/31/2023","Unauthorized Access/Disclosure","Network Server","No",""
"DotHouse Health Incorporated","MA","Healthcare Provider","10000","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Benefit Administrative Systems, LLC (BAS)","IL","Business Associate","6465","01/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Cedar Oaks Surgery Center ","MO","Healthcare Provider","794","01/27/2023","Hacking/IT Incident","Email","No",""
"Stroke Scan Inc","TX","Healthcare Provider","50000","01/27/2023","Hacking/IT Incident","Desktop Computer","No",""
"Minuteman Senior Services","MA","Healthcare Provider","500","01/27/2023","Hacking/IT Incident","Email","No",""
"Benefit Management LLC","KS","Business Associate","3356","01/27/2023","Hacking/IT Incident","Email","Yes",""
"Hayward Sisters Hospital d/b/a St. Rose Hospital ","CA","Healthcare Provider","501","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Peachtree Immediate Care FP, LLC","GA","Healthcare Provider","2555","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"One Brooklyn Health System","NY","Healthcare Provider","500","01/18/2023","Hacking/IT Incident","Network Server","No",""
"University of Colorado Hospital Authority","CO","Healthcare Provider","48879","01/17/2023","Hacking/IT Incident","Network Server","Yes",""
"1st Franklin Financial Corporation Master Welfare Benefit Plan","GA","Health Plan","3039","01/13/2023","Hacking/IT Incident","Email","No",""
"DPP II, LLC","TX","Healthcare Provider","125981","01/12/2023","Hacking/IT Incident","Network Server","No",""
"Community Psychiatry Management, LLC, dba Mindpath Health","NC","Healthcare Provider","193947","01/10/2023","Hacking/IT Incident","Email","No",""
"Pershing Health System","MO","Healthcare Provider","5368","01/05/2023","Hacking/IT Incident","Email","No",""
"Insulet Corporation","MA","Healthcare Provider","29000","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Texas Orthopaedic & Sports Medicine","TX","Healthcare Provider","1064","01/05/2023","Hacking/IT Incident","Electronic Medical Record, Laptop","No",""
"Lantern Hill Retirement Community","NJ","Healthcare Provider","528","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Barclay Damon LLP","NY","Business Associate","1039","01/03/2023","Hacking/IT Incident","Email","Yes",""
"Bay Bridge Administrators, LLC","TX","Business Associate","187742","12/30/2022","Hacking/IT Incident","Network Server","Yes",""
"Fitzgibbon Hospital","MO","Healthcare Provider","112072","12/30/2022","Unauthorized Access/Disclosure","Network Server","No",""
"NR Florida Associates LLC","FL","Healthcare Provider","6250","12/30/2022","Hacking/IT Incident","Network Server","No",""
"L. Knife & Son, Inc. Employee Benefits Plan","MA","Health Plan","4082","12/30/2022","Hacking/IT Incident","Network Server","No",""
"Bosselman Energy, Inc. Employee Health Benefits Plan","NE","Health Plan","735","12/29/2022","Hacking/IT Incident","Network Server","No",""
"Legacy Operating Company d/b/a Legacy Hospice","AL","Healthcare Provider","21202","12/22/2022","Hacking/IT Incident","Email","No",""
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System","LA","Healthcare Provider","269752","12/22/2022","Hacking/IT Incident","Network Server","No",""
"University of Miami ","FL","Healthcare Provider","973","12/22/2022","Unauthorized Access/Disclosure","Email","No",""
"Bay City Health & Rehabilitation Center ","TX","Healthcare Provider","2000","12/20/2022","Hacking/IT Incident","Network Server","No",""
"Metropolitan Area EMS Authority dba MedStar Mobile Healthcare","TX","Healthcare Provider","612000","12/19/2022","Hacking/IT Incident","Network Server","No",""
"Foundcare, Inc.","FL","Healthcare Provider","14194","12/16/2022","Hacking/IT Incident","Email","No",""
"Avem Health Partners","OK","Business Associate","271303","12/13/2022","Hacking/IT Incident","Network Server","Yes",""
"Sleep Center Hawaii","HI","Healthcare Provider","5396","12/12/2022","Hacking/IT Incident","Email","No",""
"Pediatrics West, P.C.","MA","Healthcare Provider","1364","12/09/2022","Hacking/IT Incident","Network Server","No",""
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.","GA","Health Plan","20849","12/06/2022","Hacking/IT Incident","Network Server","No",""
"Polsinelli PC","MO","Business Associate","1220","12/02/2022","Hacking/IT Incident","Network Server","Yes",""
"NYC Health + Hospitals","NY","Healthcare Provider","2174","12/02/2022","Loss","Other Portable Electronic Device","No",""
"CommonSpirit Health","IL","Business Associate","623774","12/01/2022","Hacking/IT Incident","Network Server","Yes",""
"Keck Medicine of USC","CA","Healthcare Provider","2200","11/29/2022","Hacking/IT Incident","Email","No",""
"Dallam Hartley Counties Hospital District","TX","Healthcare Provider","69835","11/23/2022","Hacking/IT Incident","Network Server","No",""
"Compton & Broomhead Dental Center","IN","Healthcare Provider","1307","11/23/2022","Hacking/IT Incident","Email","No",""
"Hope Health Systems Inc.","MD","Healthcare Provider","9972","11/21/2022","Hacking/IT Incident","Electronic Medical Record","No",""
"Orlando Health","FL","Healthcare Provider","3662","11/18/2022","Hacking/IT Incident","Email","No",""
"Wright & Filippis LLC","MI","Healthcare Provider","877584","11/18/2022","Hacking/IT Incident","Network Server","No",""
"Gateway Rehabilitation Center","PA","Healthcare Provider","130000","11/18/2022","Hacking/IT Incident","Network Server","No",""
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.","TX","Healthcare Provider","56728","11/17/2022","Hacking/IT Incident","Network Server","Yes",""
"Innovative Service Technology Management Services, Inc. ","GA","Health Plan","2654","11/17/2022","Hacking/IT Incident","Network Server","No",""
"South Walton Fire District","FL","Healthcare Provider","25331","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Docs Medical Inc","CT","Healthcare Provider","3146","11/15/2022","Hacking/IT Incident","Network Server","No",""
"Epic Management LLC","TN","Healthcare Provider","10862","11/14/2022","Hacking/IT Incident","Email","No",""
"Health Care Management Solutions, LLC","WV","Business Associate","500000","11/14/2022","Hacking/IT Incident","Network Server","Yes",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","12000","11/11/2022","Hacking/IT Incident","Laptop","No",""
"Stanley Street Treatment and Resources, Inc. ","MA","Healthcare Provider","45785","11/11/2022","Hacking/IT Incident","Network Server","No",""
"Connexin Software, Inc.","PA","Business Associate","2675934","11/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Doctors' Center Hospital","","Healthcare Provider","1195220","11/09/2022","Hacking/IT Incident","Network Server","No",""
"Heartland Alliance ","IL","Business Associate","46694","11/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Eastside Pediatrics, PLLC","NY","Healthcare Provider","1723","11/08/2022","Hacking/IT Incident","Network Server","No",""
"OCEANVIEWS OPTICAL INC","FL","Healthcare Provider","2000","11/03/2022","Hacking/IT Incident","Network Server","No",""
"TIC International Corporation (“TIC”)","IN","Business Associate","1362","11/01/2022","Hacking/IT Incident","Network Server","Yes",""
"CorrectCare Integrated Health, Inc.","KY","Business Associate","4380","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"CorrectCare Integrated Health, Inc.","KY","Business Associate","438713","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Heart of Florida Health Center, Inc.","FL","Healthcare Provider","721","10/31/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"The Psychology Center","WI","Healthcare Provider","3614","10/31/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York","NY","Health Plan","21544","10/31/2022","Hacking/IT Incident","Email","No",""
"St Luke's Health - Texas","TX","Healthcare Provider","16906","10/30/2022","Hacking/IT Incident","Email","Yes",""
"Assurance Health System, LLC","IN","Healthcare Provider","3565","10/28/2022","Hacking/IT Incident","Email","No",""
"SightCare, Inc.","AZ","Health Plan","637999","10/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Nationwide Optometry, PC","AZ","Healthcare Provider","73073","10/28/2022","Hacking/IT Incident","Network Server","Yes",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","33857","10/25/2022","Hacking/IT Incident","Email","No",""
"Coastal Horizons Center Inc.","NC","Healthcare Provider","679","10/25/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Somnia, Inc.","NY","Healthcare Provider","1326","10/24/2022","Hacking/IT Incident","Network Server","No",""
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ","IL","Health Plan","480435","10/21/2022","Hacking/IT Incident","Network Server","No",""
"Phoenix Programs of Florida, Inc.","FL","Healthcare Provider","6594","10/21/2022","Hacking/IT Incident","Email","No",""
"Dr. Scott B. Klimaj, DMD","RI","Healthcare Provider","1558","10/21/2022","Hacking/IT Incident","Network Server","No",""
"Wenco Management, LLC Health and Welfare Benefit Plan","OH","Health Plan","20526","10/20/2022","Hacking/IT Incident","Network Server","No",""
"Pynenberg & Scheske DDS,SC ","WI","Healthcare Provider","2612","10/20/2022","Hacking/IT Incident","Network Server","No",""
"Sigmund Software, LLC ","CT","Business Associate","983","10/20/2022","Hacking/IT Incident","Network Server","Yes",""
